Item ID,Sentiment,SentimentText,Cleaned_Text,Keywords,Category,Department
630,7,@tamsil_sidd @RailMinIndia @PiyushGoyal Your mail is forwarded to @gm_nfr as mentioned in the screenshot,mail forwarded mentioned screenshot,,Cleanliness Issues,Housekeeping Department
69,7,@RailMinIndia @RahmanAnsariBOI @drmlko25 Kindly look into this,kindly look,,Cleanliness Issues,Housekeeping Department
283,7,@leomanojc @vikaskh05172507 @Naren_Reddy23 @SayNoToHindi @mnsadhikrut @abpmajhatv @anilshidore @RailMinIndiaâ¦ https://t.co/ZYfC5aoBnl,,,Cleanliness Issues,Housekeeping Department
291,7,@RailMinIndia @DArpitBhargava @ed_eeg @drm_moradabad Matter has been forwarded to concerned official @SrdeegA   for N/\A,matter forwarded concerned official na,,Cleanliness Issues,Housekeeping Department
303,7,"@sureshpprabhu @RailMinIndia @drmbikaner @SrdcmC  ??!STNL stn ?? ??? concerned officer ???? ???????????? ??,???? ???? mini ??? only ?? ??? ?",stnl stn concerned officer mini,,Cleanliness Issues,Housekeeping Department
1052,7,@mistuni  Kindly share PNR number. Matter forwarded to the concerned officials @Drmwat_ecor @IR_ENHM @IR_EDMECHG @crseecor17,kindly share pnr number matter forwarded concerned official,pnr,Cleanliness Issues,Housekeeping Department
268,7,RT @Venkati5: @SrDOMhyb @asb_ambati @jijjuu @drmhyb @FeaYogesh @UttamChakram @RailMinIndia @SCRailwayIndia @eswarkanchuâ¦,rt,rt,Cleanliness Issues,Housekeeping Department
1061,7,@RailMinIndia @DevKuma35104438 @IR_ENHM Kindly share your correct PNR for further action.,kindly share correct pnr action,pnr,Cleanliness Issues,Housekeeping Department
970,7,"@RailMinIndia @NeharikaSadotra Mam, u r bag could not be traced despite best efforts. Thanks for calling us.",mam u r bag could traced despite best effort thanks calling u,,Cleanliness Issues,Housekeeping Department
325,7,A Highland Moon Enchantment by Mary Morgan #Historical #PNR @MoBPromos @m_morganauthor https://t.co/qRKKQTLAkx via @JacqBiggar,highland moon enchantment mary morgan via,,Cleanliness Issues,Housekeeping Department
909,7,"@RailMinIndia @mohitbansal660 @RpfNwr Sir, kindly share your contact number with journey details and specify placeâ¦ https://t.co/JVJMorksgY",sir kindly share contact number journey detail specify place,sir,Cleanliness Issues,Housekeeping Department
357,7,@anujajoshi9 @RatlamDRM @RailMinIndia @IR_ENHM will be attended at kota . please share your mobile no .,attended kota please share mobile,please,Cleanliness Issues,Housekeeping Department
559,7,@abhi795 Kindly share PNR for better assistance. Kindly look into it @IRCATERING @DrmKota @ed_eeg @Drmbct,kindly share pnr better assistance kindly look,pnr,Cleanliness Issues,Housekeeping Department
643,7,"@bbiswajit88 @RailMinIndia Sorry,  the tweet received from @RailMinIndia doesn't contain your complaint.",sorry tweet received doesnt contain complaint,,Cleanliness Issues,Housekeeping Department
96,7,"RT @irctcwestzone: @RailMinIndia @Sivaram15064430 Inconvenience regretted, matter is being taken up for further necessary action",rt inconvenience regretted matter taken necessary action,rt,Cleanliness Issues,Housekeeping Department
1293,7,@RailMinIndia @rajtoday @Akkibhatkar @Shrikant2025 @ThaneMt @thane_now @MumbraKiAwaam @PiyushGoyal @mumbairailusersâ¦ https://t.co/Iu4NzEgWIR,,,Cleanliness Issues,Housekeeping Department
622,7,@RailMinIndia @at_agentofchaos @IR_ENHM Matter notified to the concerned officials @LTTOBHS1 @srdmecmumbaicr,matter notified concerned official,,Cleanliness Issues,Housekeeping Department
623,7,@RailMinIndia @mohitbansal660 @NRRPF Comp No. 437 matter forwarded to @rpfnwrbkn look into this matter &amp;  kindly prâ¦ https://t.co/dN8IuA9Shf,comp matter forwarded look matter amp kindly pr,amp,Cleanliness Issues,Housekeeping Department
930,7,@RailMinIndia @mistuni @IR_ENHM @IR_EDMECHG @crseecor17 Officials concerned communicated about the issue @srdmewat,official concerned communicated issue,,Cleanliness Issues,Housekeeping Department
937,7,"RT @IndiaBTL: Glad to inform &amp; confirmed from multiple sources, the newspaper was not distributed by railways officially, but couâ¦ ",rt glad inform amp confirmed multiple source newspaper distributed railway officially cou,"amp, railway, rt",Cleanliness Issues,Housekeeping Department
894,7,@kiran_k28 @RailMinIndia matter forwarded to concerned @mechbpl,matter forwarded concerned,,Cleanliness Issues,Housekeeping Department
896,7,@DRMJaipur Banasthali Niwai @rpfnwrjp @RpfNwr @RailMinIndia @SrdenCoJaipur BNLW,banasthali niwai bnlw,,Cleanliness Issues,Housekeeping Department
385,7,@arpiturfrnd      Kindly share PNR number for further action.   @Drmdelhi @IR_ENHM,kindly share pnr number action,pnr,Cleanliness Issues,Housekeeping Department
386,7,@RailMinIndia @ahamadali222 @IR_EDMECHG @CRSE_CHG_NR matter is fwd to the @SrDMEdelhi,matter fwd,,Cleanliness Issues,Housekeeping Department
1069,7,"@RailMinIndia @VivekVe76991318 @drmsee1 Noted sir, Matter fwd to @drmbsbner",noted sir matter fwd,sir,Cleanliness Issues,Housekeeping Department
244,7,@RailMinIndia @pavansonidegana Inconvenience caused is regretted. This facility is provided on platform number oneâ¦ https://t.co/JUeRotn6C0,inconvenience caused regretted facility provided platform number one,,Infrastructure Problems,Engineering & Maintenance
245,7,@RailMinIndia @bbiswajit88 Kindly share Train no.,kindly share train,train,Cleanliness Issues,Housekeeping Department
213,7,@RailMinIndia @ankulaagarwal @TVC138 @IR_EDMECHG @crsechgsrly Matter informed to concern officials @CCRBCT @srdmebct .Regards,matter informed concern official regard,,Cleanliness Issues,Housekeeping Department
219,7,"@RailMinIndia @SCRailwayIndia Sir, Sri Mohd. JAMSHED MT, @AshwaniLohani Sri P.GUHA PRINCIPAL ED(Coachg) ð KINDLY REâ¦ https://t.co/MMlMoPJsmA",sir sri mohd jamshed mt sri pguha principal edcoachg kindly,sir,Cleanliness Issues,Housekeeping Department
1125,7,@drm_moradabad @DArpitBhargava @WesternRly @sureshpprabhu @PiyushGoyal @IndianRailMedia @RailMinIndia Matter has been already forward,matter already forward,,Cleanliness Issues,Housekeeping Department
1128,7,RT @mmalavec: #Win $50 Amazon #BookTour #Giveaway #BookBoost #Paranormal #Romance #Wolf #Shifter #PNR #EmiliaHartley https://t.co/mCGb3SdXGn,rt amazon,rt,Cleanliness Issues,Housekeeping Department
388,7,@RailMinIndia @Siriusblack1213 @rpfncr Matter advised to concerned official @nr_ctg for necessary action.,matter advised concerned official necessary action,,Cleanliness Issues,Housekeeping Department
395,7,"@RajivPa42303624  Kindly share PNR number, issue referred to concerned officials @ed_eeg @Drmkhurdaroad",kindly share pnr number issue referred concerned official,pnr,Cleanliness Issues,Housekeeping Department
236,7,"@RailMinIndia @SHIVAM_1234515 Sir, inconvenience regretted. Please lodge your FIR (if not lodged) with GRP and pursâ¦ https://t.co/lSb34osAX0",sir inconvenience regretted please lodge fir lodged grp purs,"please, sir",Cleanliness Issues,Housekeeping Department
1136,7,@abhineet_hit  Kindly share PNR number. Matter forwarded to the concerned officials @Drmncrald @ed_eeg,kindly share pnr number matter forwarded concerned official,pnr,Cleanliness Issues,Housekeeping Department
196,7,@drmncrald @abhineet_hit @RailMinIndia @PiyushGoyal @PMOIndia sorry for inconvenience.your complaint will attended at CNB/STN.,sorry inconvenienceyour complaint attended cnbstn,,Cleanliness Issues,Housekeeping Department
204,7,"@RailMinIndia @abhinavchabria Sir, u r laptop could not be traced despite best efforts. Thanks for calling us.",sir u r laptop could traced despite best effort thanks calling u,sir,Cleanliness Issues,Housekeeping Department
839,7,@rahuljaincool @RailMinIndia @PiyushGoyal @IRCTC_Ltd Please share train no,please share train,"please, train",Cleanliness Issues,Housekeeping Department
1111,7,@surykantverma07   Kindly share PNR number.,kindly share pnr number,pnr,Cleanliness Issues,Housekeeping Department
1122,7,@Sunnykumarjee @Central_Railway @RailMinIndia For updated information please call 139.,updated information please call,please,Cleanliness Issues,Housekeeping Department
185,7,@RailMinIndia @KaliaAjit @IR_ENHM Pls look into the matter @AmbalaCnW,pls look matter,,Cleanliness Issues,Housekeeping Department
689,7,@drmlko25 @RailMinIndia @RailwayNorthern Kindly send anyone railway staff to attend 14203,kindly send anyone railway staff attend,railway,Staff Behavior & Service,HR & Training
508,7,@SrDmeChg_Dli @drmdelhi @RailMinIndia @drkumarsambhav @IR_ENHM kindly share your PNR NO.,kindly share pnr,pnr,Cleanliness Issues,Housekeeping Department
694,7,"@Uttambanerjee10  Kindly share PNR number, issue forwarded to concerned officials @ed_eeg @Drmnfr_lmg @Drmvijayawada",kindly share pnr number issue forwarded concerned official,pnr,Cleanliness Issues,Housekeeping Department
1214,7,@RailMinIndia @soorajkumarv @GMSRailway Noted informed concerned department,noted informed concerned department,,Cleanliness Issues,Housekeeping Department
536,7,"@vivek05102229  Kindly share PNR &amp; contact number, issue referred to concerned official @Drmjabalpur for urgent medical assistance.",kindly share pnr amp contact number issue referred concerned official urgent medical assistance,"amp, pnr",Cleanliness Issues,Housekeeping Department
807,7, @drmdelhi @IR_EDMECHG @CRSE_CHG_NR 2139649203 Name . Ahmad Ali D2 sheat no 29,name ahmad ali sheat,,Cleanliness Issues,Housekeeping Department
831,7,"@RailMinIndia @brijeshweb Sir, It is a matter of great satisfaction that, u r missing grandfather is safe and reached home safely.",sir matter great satisfaction u r missing grandfather safe reached home safely,sir,Cleanliness Issues,Housekeeping Department
423,7,"@RailMinIndia @mohitgandhi7 Sir, It is a matter of great satisfaction that, missing person was traced.Thanks for calling us.",sir matter great satisfaction missing person tracedthanks calling u,sir,Cleanliness Issues,Housekeeping Department
430,7,@DRMbhopal @kiran_k28 @RailMinIndia Sorry for inconvenience complaint will be attend at ITARSI,sorry inconvenience complaint attend itarsi,,Cleanliness Issues,Housekeeping Department
1156,7,@abhineet_hit @RailMinIndia @PiyushGoyal @PMOIndia Matter advised to concerned official @SrdeechgAld for necessary action.,matter advised concerned official necessary action,,Cleanliness Issues,Housekeeping Department
1164,7,@RailMinIndia @GM_NRly  @drmdelhi  @sureshpprabhu Concerned RPF staff/TTE on duty was informed in this concern for taking appropriate action,concerned rpf stafftte duty informed concern taking appropriate action,,Staff Behavior & Service,HR & Training
782,7,"RT @eswarkanchu: @RailMinIndia @SCRailwayIndia Sir, Sri Mohd. JAMSHED MT, @AshwaniLohani Sri P.GUHA PRINCIPAL ED(Coachg) ð KINDLY REâ¦ ",rt sir sri mohd jamshed mt sri pguha principal edcoachg kindly,"rt, sir",Cleanliness Issues,Housekeeping Department
1148,7,"@RailMinIndia @MohdHussain77 Sir, thanks for calling us.",sir thanks calling u,sir,Cleanliness Issues,Housekeeping Department
1149,7,@RailMinIndia my contact number is +919205535799Thanks,contact number thanks,,Cleanliness Issues,Housekeeping Department
1150,7,@RailMinIndia @irctceastzone 6506401270,,,Cleanliness Issues,Housekeeping Department
150,7,"@RailMinIndia @Sivaram15064430 Inconvenience regretted, matter is being taken up for further necessary action",inconvenience regretted matter taken necessary action,,Cleanliness Issues,Housekeeping Department
155,7,@DArpitBhargava @WesternRly @sureshpprabhu @PiyushGoyal @IndianRailMedia @RailMinIndia @DRM_Agra  kindly look into this,kindly look,,Cleanliness Issues,Housekeeping Department
162,7,"RT @IndiaBTL: Glad to inform &amp; confirmed from multiple sources, the newspaper was not distributed by railways officially, but couâ¦",rt glad inform amp confirmed multiple source newspaper distributed railway officially cou,"amp, railway, rt",Cleanliness Issues,Housekeeping Department
498,7,"@RailMinIndia @Kumar410Pankaj Sir, u r father traced out at Vizianagarm and handed over to ur brother.Thanks for calling us.",sir u r father traced vizianagarm handed ur brotherthanks calling u,sir,Cleanliness Issues,Housekeeping Department
1193,7,@RailMinIndia @BannaDipaksa SSE Telecom at MSH will be send tomorrow  dt 03/12/2017.,sse telecom msh send tomorrow dt,,Cleanliness Issues,Housekeeping Department
133,7,"@DRMbhopal @RailMinIndia @sanjaygupta2012 sorry for inconvenience ,matter noted to @OPTGBSL",sorry inconvenience matter noted,,Cleanliness Issues,Housekeeping Department
1238,7,"RT @RailwayNorthern: @IndiaBTL @RailMinIndia @PiyushGoyal @PMOIndia ""NR does not purchase National Herald for distribution in trains. Eiâ¦ ",rt nr purchase national herald distribution train ei,"rt, train",Cleanliness Issues,Housekeeping Department
1241,7," @SHIVAM_1234515 Sir, inconvenience regretted. Please lodge your FIR (if not lodged) with GRP and pursâ¦ https://t.co/lSb34osAX0",sir inconvenience regretted please lodge fir lodged grp purs,"please, sir",Cleanliness Issues,Housekeeping Department
1243,7,@RailMinIndia @Uttambanerjee10 @ed_eeg @drmnfr_lmg Matter notified to officials concerned @electrlbzascr,matter notified official concerned,,Cleanliness Issues,Housekeeping Department
770,7,"@sanjaygupta2012 @DRMbhopal @RailMinIndia @PiyushGoyal sorry for inconvenience ,matter noted @IRCTC_Ltd",sorry inconvenience matter noted,,Cleanliness Issues,Housekeeping Department
164,7,@DRMbhopal @satyavsingh @RailMinIndia Sorry for inconvenience complaint will be attend at ITARSI,sorry inconvenience complaint attend itarsi,,Cleanliness Issues,Housekeeping Department
720,7,RT @BPShourya: It's true and strict action should be taken against ppl doing so. Few months back @RailMinIndia had issued rate lisâ¦ ,rt true strict action taken ppl month back issued rate li,rt,Cleanliness Issues,Housekeeping Department
472,7,@rpfwrbct @rpfwr1 @RailMinIndia @Deshbhakth1 @rpfchurchgate @rpfmumbcenlocal @rpfdadar2 @RPFAndheri @rpfborivali1â¦ https://t.co/OlzONbm5Bo,,,Cleanliness Issues,Housekeeping Department
473,7,@Anupama__P @RailMinIndia Official concerned has been advised to look into this,official concerned advised look,,Cleanliness Issues,Housekeeping Department
1223,7,@sureshpprabhu  @RailMinIndia  The cleanliness feedback overphone is appreciated.But feedback for which station is not clearly mentioned.1/2,cleanliness feedback overphone appreciatedbut feedback station clearly mentioned,station,Cleanliness Issues,Housekeeping Department
1305,7,@RailMinIndia @Siriusblack1213 @drmncrald @rpfncrald  kindly look this matter into necessary action NCR-1536,kindly look matter necessary action ncr,,Cleanliness Issues,Housekeeping Department
40,7,@RailMinIndia @RupSgsits @ed_eeg @drmsbc Matter notified to officials concerned @electrlbzascr,matter notified official concerned,,Cleanliness Issues,Housekeeping Department
1287,7,@DrmChennai @RailMinIndia In Bangalore  no charges  . Any circulars  from Railway  ministry. Attach,bangalore charge circular railway ministry attach,railway,Cleanliness Issues,Housekeeping Department
1352,7,@ahamadali222  Kindly share PNR number.  Matter forwarded to the concerned officials @Drmdelhi @IR_EDMECHG @CRSE_CHG_NR,kindly share pnr number matter forwarded concerned official,pnr,Cleanliness Issues,Housekeeping Department
1360,7,@RajeshR21049055 @RailMinIndia @DRM_ASN kindly look into the matter.,kindly look matter,,Cleanliness Issues,Housekeeping Department
308,7,@prena_ @rpfnwrjp @RpfNwr @RailMinIndia Kindly clarify the name of station with @SrdenCoJaipur,kindly clarify name station,station,Infrastructure Problems,Engineering & Maintenance
591,7,@pisecianpisces @rpfbharuch @rpfwrbrc @RailMinIndia @DRMBRCWR @rpfankaleshwar Kindly look into this matter @rpfwrbrc,kindly look matter,,Cleanliness Issues,Housekeeping Department
607,6," @ARM_SRC @drmkgp @RailMinIndia @sdmebvp1 Respected sirs,Thank you for quick action and response. I Rahuâ¦ https://t.co/noP1iP8E3n",respected sirsthank quick action response rahu,,Cleanliness Issues,Housekeeping Department
579,6,@RailMinIndia Hats off @sureshpprabhu and your #Team .. Thanks to youhttps://t.co/VvMxA0W8NS https://t.co/eXRga4WBEE,hat thanks,,Cleanliness Issues,Housekeeping Department
584,6,"RT @kassalv: #Scrap498A #498A is a weapon to extort money coz #498AJailsInnocent familes !
emergency,@IRCTC_Ltd @RailMinIndia @PiyushGoyalOffc If your clerk can give tickets than why he is not giving""",rt weapon extort money coz familes emergency clerk give ticket giving,"rt, ticket",Ticketing Issues,Ticketing & Reservations
588,6,RT @RailMinIndia: Ministry of RailwaysÂ launchedÂ 1STÂ Swarna Rajdhani ( Train no 12314 New Delhi- Sealdah Rajdhani) rake today.A Majorâ¦ ,rt ministry railway launched st swarna rajdhani train new delhi sealdah rajdhani rake todaya major,"railway, rt, train",Cleanliness Issues,Housekeeping Department
594,6,"@RailMinIndia Thanks sir today's proposed starting of saharsa Purnea line under ECR, we request you to start hate Bazare through this line",thanks sir today proposed starting saharsa purnea line ecr request start hate bazare line,sir,Cleanliness Issues,Housekeeping Department
9,6,Enter to win $150 Amazon Gift Card! #Books #PNR #UrbanFantasy #Romance https://t.co/jBfXzDe7P2,enter win amazon gift card,,Cleanliness Issues,Housekeeping Department
1000,6,@RailMinIndia kindly provide tea in kulhad instead of plastic glass,kindly provide tea kulhad instead plastic glass,,Cleanliness Issues,Housekeeping Department
995,6,@RailMinIndia  sir trn me LED light kyu nai lgwaya aapne ??,sir trn led light kyu nai lgwaya aapne,sir,Cleanliness Issues,Housekeeping Department
322,6,RT @FollowCII: We are in the process of drawing up policies for each of the sectors of the economy on how to increase their busineâ¦ ,rt process drawing policy sector economy increase busine,rt,Cleanliness Issues,Housekeeping Department
321,6,@RailMinIndia we are wants given best ideas and technology for Indian railway development more than against Japan and China,want given best idea technology indian railway development japan china,railway,Cleanliness Issues,Housekeeping Department
317,6,@RailMinIndia sir I am since morning and two time I had connected the at no 011-39340000 . But they give me very bad response . 1/2,sir since morning two time connected give bad response,"sir, time",Catering & Food Quality,Food & Catering Services
993,6,RT @ErGKSWAMY1: @seevivekhere Ask them to join @airef_official  under the dynamic leadership of @AirefPr @airef1234 and fight for jâ¦,rt ask join dynamic leadership fight j,rt,Cleanliness Issues,Housekeeping Department
992,6,@sureshpprabhu @RailMinIndia aadhar will help Railway in many ways. During accidents and other incidents plus you have the perfect info of,aadhar help railway many way accident incident plus perfect info,"help, railway",Cleanliness Issues,Housekeeping Department
989,6,RT @DOTrPH: READ: Construction of Manila-Clark Railway project to start soon. The contract for the construction supervision andâ¦,rt read construction manilaclark railway project start soon contract construction supervision,"railway, rt",Infrastructure Problems,Engineering & Maintenance
595,6,"@RailMinIndia on board entertain system in bad shape , same adds repeated every 5.mins. good work in other sectors nullified here..",board entertain system bad shape add repeated every min good work sector nullified,,Catering & Food Quality,Food & Catering Services
1355,6,@RatlamDRM @SBKULAL @Bkugne @riyaj_ali @niraj1712 @FAZALALAM234 @phanipeddapall1 @ratneshthakur86 @railmitraaâ¦ https://t.co/yXriZjSJiC,,,Cleanliness Issues,Housekeeping Department
1354,6,RT @EdenAshe: Add #AllINeed to your TBR shelf! #iartg #ian1 #asmsg #bookboost #RT #paranormalromance #PNR #1click #oneclickâ¦ ,rt add tbr shelf,rt,Cleanliness Issues,Housekeeping Department
16,6,The Google i1 button is used 5 billion times pnr day. (source: AllTwitter),google button used billion time pnr day source alltwitter,"pnr, time",Cleanliness Issues,Housekeeping Department
1285,6,RT @carole_mortimer: #PNR #fantasy #BookBoost #IARTG #EARTG #ASMSG #IAN1 #mgtab #tw4rw #NewRelease DERYK (Dragon Hearts 2)â¦ ,rt deryk dragon heart,rt,Cleanliness Issues,Housekeeping Department
1282,6,@RailMinIndia @sureshpprabhu  I am sure that railwys only care abt posting on twittr and fb. I posted my issue many times now and no reply.,sure railwys care abt posting twittr fb posted issue many time reply,time,Cleanliness Issues,Housekeeping Department
1315,6,@sureshpprabhu  @RailMinIndia Thanks a lot  for showing quick response and helping my sister @Rewaristation.. Commendable job done. :),thanks lot showing quick response helping sister commendable job done,,Cleanliness Issues,Housekeeping Department
39,6,"I applaud Indian Railway 4commendable service.We had issue with charging pt, attendants quickly came,plucked entireâ¦ https://t.co/IenAa6lzLj",applaud indian railway commendable servicewe issue charging pt attendant quickly cameplucked entire,railway,Cleanliness Issues,Housekeeping Department
1314,6,RT @DOTrPH: READ: Construction of Manila-Clark Railway project to start soon. The contract for the construction supervision andâ¦ ,rt read construction manilaclark railway project start soon contract construction supervision,"railway, rt",Infrastructure Problems,Engineering & Maintenance
1313,6,Wow. Are you serious? @Swamy39 @narendramodi @AmitShah https://t.co/iehx1nRAS9,wow serious,,Cleanliness Issues,Housekeeping Department
1307,6,@IRCTC_Ltd @RailMinIndia @PiyushGoyalOffc Great job GANDHI JI KE BANDAAEON,great job gandhi ji ke bandaaeon,,Cleanliness Issues,Housekeeping Department
492,6,"@drmdelhi @RailMinIndia @IR_EDMECHG @CRSE_CHG_NR @SrDMEdelhi The changed, passenger centric face of Railways is visâ¦ https://t.co/zf1mcUloA3",changed passenger centric face railway vi,railway,Overcrowding,Operations & Scheduling
487,6,@RailMinIndia @Sivaram15064430 @irctcwestzone Sir I want some action not just tweet for fomalty o want improve my râ¦ https://t.co/f3JprtwXze,sir want action tweet fomalty want improve r,sir,Cleanliness Issues,Housekeeping Department
485,6,@sureshpprabhu  @RailMinIndia Thank you a lot for showing quick response and helping my sister @Rewaristation with efficient team of doctors,thank lot showing quick response helping sister efficient team doctor,,Cleanliness Issues,Housekeeping Department
484,6,@beatablitz Awesome... posted your tweet up here https://t.co/tkAGqzTxzu,awesome posted tweet,,Cleanliness Issues,Housekeeping Department
117,6,@RailMinIndia @khushalvakharia Thatâs poor railways.poor very poor.,thats poor railwayspoor poor,,Catering & Food Quality,Food & Catering Services
1170,6,RT @shreerangkhare: How can we respect 23 people who lost life on #elphinstone #bridge2017 ? They must be remembered in some manner wheâ¦ ,rt respect people lost life must remembered manner whe,rt,Cleanliness Issues,Housekeeping Department
1167,6,@rpfwrbct @rpfwr1 @RailMinIndia @Deshbhakth1 @rpfchurchgate @rpfmumbcenlocal @rpfdadar2 @RPFAndheri @rpfborivali1â¦ https://t.co/OlzONbm5Bo,,,Cleanliness Issues,Housekeeping Department
1166,6,@WesternRly @DRMBRCWR @drmbct @RailMinIndia @PiyushGoyalOffc @PiyushGoyal We want passanger train between bharuch tâ¦ https://t.co/tEBXrWdYha,want passanger train bharuch,train,Cleanliness Issues,Housekeeping Department
731,6,@RailMinIndia catching agents will not solve problem like this instead increase the time for booking of counter tickets like irctc 35secs,catching agent solve problem like instead increase time booking counter ticket like irctc sec,"ticket, time",Ticketing Issues,Ticketing & Reservations
729,6,@KaliaAjit @prayag @RailMinIndia @PiyushGoyalOffc They do not have performance appraisal and variable pay. So obvioâ¦ https://t.co/p1S66EYupu,performance appraisal variable pay obvio,,Cleanliness Issues,Housekeeping Department
477,6,This is what #Swachbharat looks like https://t.co/npKnxGqOyP,look like,,Cleanliness Issues,Housekeeping Department
470,6,@RailMinIndia @PMOIndia @abpnewshindi @aajtak @KumarKetkarV @girishkuber @waglenikhil what a great prime minister works 24x7 great work,great prime minister work x great work,,Cleanliness Issues,Housekeeping Department
469,6,@drm_drmizn @RailMinIndia sr aap kya kahenge koi action lenge aap ya nahi https://t.co/vWcbzfkBXk,sr aap kya kahenge koi action lenge aap ya nahi,,Cleanliness Issues,Housekeeping Department
719,6,#amreading #urbanfantasy #uf #ufart #urbanfantasyart #magic #booksaremagic #amreading #pnr #paranormalromanceâ¦ https://t.co/0PLQ8FCV7a,,,Cleanliness Issues,Housekeeping Department
145,6,@drmdelhi @RailMinIndia @srdomchgdli No reply..,reply,,Cleanliness Issues,Housekeeping Department
141,6,@RailMinIndia i feel like it will work as intercity trains carry maximum job proffessionals who have to reach office neat and clean,feel like work intercity train carry maximum job proffessionals reach office neat clean,train,Cleanliness Issues,Housekeeping Department
138,6,Scenic #IndianRailways near #Igatpuri on #Mumbai - #Nasik route. #ThullGhat #KamayaniExpress @RailMinIndiaâ¦ https://t.co/nnkI29oaEL,scenic near route,,Cleanliness Issues,Housekeeping Department
135,6, User id: macrohit Date of booking : 28-11-17,user id macrohit date booking,,Ticketing Issues,Ticketing & Reservations
166,6,"@RailMinIndia Look outside the boundary wall of Old Delhi Rly Stn.  Mess. by vendors, accumulated garbage, traffic jam , unusable urinals.",look outside boundary wall old delhi rly stn mess vendor accumulated garbage traffic jam unusable urinal,,Cleanliness Issues,Housekeeping Department
464,6,RT @Venkati5: @SrDOMhyb @asb_ambati @jijjuu @drmhyb @FeaYogesh @UttamChakram @RailMinIndia @SCRailwayIndia @eswarkanchuâ¦ ,rt,rt,Cleanliness Issues,Housekeeping Department
765,6,@RailMinIndia Cant justify This Station Approval? The distance is only 2 kms! this place is reserved 4 MentalHospitâ¦ https://t.co/XNELV33iNo,cant justify station approval distance km place reserved mentalhospit,station,Infrastructure Problems,Engineering & Maintenance
757,6,@SirDebasis @Naren_Reddy23 @leomanojc @SayNoToHindi @mnsadhikrut @abpmajhatv @anilshidore @RailMinIndiaâ¦ https://t.co/Rupv5ynCuH,,,Cleanliness Issues,Housekeeping Department
750,6,"RT @RailMinIndia: Sh. Vishvesh Chaube,GM NR undertook surprise inspection of New Delhi Stn &amp; took stock of passenger amenities of traâ¦ ",rt sh vishvesh chaubegm nr undertook surprise inspection new delhi stn amp took stock passenger amenity tra,"amp, rt",Overcrowding,Operations & Scheduling
740,6,RT @TheRealDharmu: @razzaqlucky @MDARIFAZIZ1 @rafeliberty @PiyushGoyal @SCRailwayIndia @drmned @RailMinIndia Is any action taken or juâ¦ ,rt action taken ju,rt,Cleanliness Issues,Housekeeping Department
1183,6,Check out Thief Catcher on The Prolific Reader! #instafreebie #freebook #whattoread #pnr https://t.co/jB0Hts5o8J https://t.co/brSUrxmByu,check thief catcher prolific reader,,Cleanliness Issues,Housekeeping Department
